勾八砖家,08月19日 01:59,//weibo.com/7564510371/M1FYK99LC?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#upupup ?,yellow,0,0,0
阳雅yawen,08月19日 01:59,//weibo.com/6878126416/M1FYHsl4m?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#天 希望一切平安 ?,yellow,0,0,0
烊烊不吃张鱼小丸子,08月19日 01:59,//weibo.com/7006172782/M1FYHcWvd?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#山火居然复燃了 ?,yellow,0,0,0
岁岁有朝晀,08月19日 01:59,//weibo.com/5268601719/M1FYCs34i?refer_flag=1001030103_,#重庆真的退出四大火炉城市了吗##涪陵山火# #重庆涪陵江北街道山火复燃# 别压热搜了，山都快被烧完了 ?,yellow,3,5,28
我牙刷珉珉,08月19日 01:59,//weibo.com/7732924230/M1FYBxIAK?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#看看吧谢谢啦 ?,yellow,0,0,0
Lemonbox_,08月19日 01:59,//weibo.com/6125457266/M1FYAlM9y?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#帮忙上热搜！ ?,yellow,0,0,2
许霖-严太,08月19日 01:59,//weibo.com/7284863456/M1FYzuJrV?refer_flag=1001030103_,#女孩收录取通知书时正在割猪草##重庆涪陵突发山火# 借个话题，看看吧，山都要烧没了 ?,yellow,0,0,0
不知柴米贵的油盐酱醋,08月19日 01:59,//weibo.com/7614524333/M1FYyBuEq?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#天气太热了，苏州也是都要干旱了，前天晚上下的雨还是人工降雨，天气异常炎热，麻烦大家多多关注受灾地区的火警和需要帮助的民众吧 ?,yellow,0,0,0
-nasetalgreal-,08月19日 01:59,//weibo.com/6633589580/M1FYwxq9f?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#求求上个热搜吧up up ?,yellow,0,0,4
金桔味夹心鱼饼干,08月19日 01:59,//weibo.com/7742690889/M1FYwywfP?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#顶顶话题，注意安全 ?,yellow,0,0,0
好想吃鱼头哦,08月19日 01:59,//weibo.com/5986091056/M1FYvD55l?refer_flag=1001030103_,#涪陵山火##重庆涪陵突发山火# 别压了啊cnm ?,yellow,0,0,2
Ddirrtyy,08月19日 01:59,//weibo.com/7717650901/M1FYuf2Em?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#愿平安 ?,yellow,0,0,0
DenSommerhaben,08月19日 01:59,//weibo.com/6609187833/M1FYsFLBc?refer_flag=1001030103_,#李维嘉##重庆涪陵江北街道山火复燃# 占用词条很抱歉，但涪陵山火现场形势很严峻，求扩散求救援? ?,yellow,2,5,105
白桃乌龙水果茶丶,08月19日 01:58,//weibo.com/1141358214/M1FYjgORH?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#快上去，需要支援，复燃了，火势很大快控制不住了 ?,yellow,0,0,0
YTUZXUM,08月19日 01:58,//weibo.com/7495537018/M1FYilocY?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#upupup ?,yellow,0,0,0
我吃饱了就不饿_,08月19日 01:58,//weibo.com/5575125003/M1FYfqgHG?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#up up up 看着好吓人???? ?,yellow,0,0,2
屁大点事别分享,08月19日 01:58,//weibo.com/6602061324/M1FYf8FKE?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#起初，没有人在意这一场灾难，这不过是一场山火、一次旱灾、一个物种的灭绝、一座城市的消失，直到这场灾难和每个人息息相关…… #重庆真的退出四大火炉城市了吗##涪陵山火# 涪陵的山火让我一下子就想到流浪地球开头的这些话，希望涪陵的山火早点扑灭，所有人员都安全归来 收起d,yellow,0,0,7
澄澈201501,08月19日 01:58,//weibo.com/7428061553/M1FYey7WM?refer_flag=1001030103_,#重庆真的退出四大火炉城市了吗#重庆现在水深火热之中，请关注重庆山火呀，揪心。#重庆涪陵北山坪山火复燃# ?,yellow,0,0,13
Creampuppyy,08月19日 01:58,//weibo.com/5197400770/M1FYd1i7d?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃# 愿平安? ?,yellow,0,0,0
狐狸很甜呐,08月19日 01:58,//weibo.com/7383654392/M1FYd1i3h?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃##重庆涪陵江北街道山火复燃##重庆涪陵山火仍在扑救中##重庆涪陵江北街道山火复燃# ?,yellow,0,0,0
因风飞过蔷薇1823,08月19日 01:58,//weibo.com/6966385498/M1FYbh13y?refer_flag=1001030103_,#重庆涪陵山火复燃#好严重啊 ?,yellow,0,0,0
DRUGS药药,08月19日 01:58,//weibo.com/5264879502/M1FYb2Iyn?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#半夜真的很难过，下次回家山都没了 ?,yellow,0,2,7
克莱明粒,08月19日 01:58,//weibo.com/7753668496/M1FY8kNRG?refer_flag=1001030103_,#重庆涪陵山火仍在扑救中#希望每个人都能平平安安的，这样糟糕的情况赶快过去吧? ?,yellow,0,0,0
DrinkWar,08月19日 01:58,//weibo.com/7409797446/M1FY7sEWf?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#upupup ?,yellow,0,0,0
王哥的小姑娘,08月19日 01:58,//weibo.com/5664633402/M1FY78RDk?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#一切顺利！? ? ? ? ?,yellow,0,0,0
Roy_Augenstern,08月19日 01:58,//weibo.com/6179157339/M1FY6hPpy?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃# 刷到的都关注一下吧?今天远比昨天严重，看到现场视频真的心绞痛希望没有人员伤亡，消防员注意休息，注意安全，重庆雄起 ?,yellow,0,7,24
人间小荡漾00,08月19日 01:58,//weibo.com/7073326818/M1FY6ewAQ?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#什么情况这是 要不是我打开了实时 我都不知道 ?,yellow,0,0,1
等风来的葵,08月19日 01:57,//weibo.com/5640462165/M1FXTyeav?refer_flag=1001030103_,#李维嘉#不好意思借用tag请关注一下#重庆涪陵江北街道山火复燃# 火势凶猛，请帮忙扩散关注一下??? ?,yellow,13,25,152
H·昊想吃汤圆·Y,08月19日 01:57,//weibo.com/6994900512/M1FXOxVXm?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#帮帮涪陵，最近重庆真的很难，帮帮重庆吧！ ?,yellow,0,0,0
三块芒果干,08月19日 01:57,//weibo.com/7501555261/M1FXN3iql?refer_flag=1001030103_,#涪陵山火#我的妈呀看了这个词条里面的图我真的震撼到，今天回家路上听妈妈讲重庆这边山火好严重的撒，看了图才真的意识到多严重，怎么这个不上rs啊，这不是当务之急吗，灭火要紧啊 ?,yellow,0,4,2
懒羊羊的小鬼er,08月19日 01:57,//weibo.com/7284634272/M1FXL2w8b?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#重庆真的下场雨吧???????，求求了！！！ ?,yellow,0,0,2
朴志效口常开,08月19日 01:57,//weibo.com/7403424430/M1FXKqSAp?refer_flag=1001030103_,#重庆真的退出四大火炉城市了吗##涪陵山火# 怎么不算火炉呢? ?,yellow,0,1,3
不要再吃蛋蛋了,08月19日 01:57,//weibo.com/5520928666/M1FXK5YMD?refer_flag=1001030103_,我的快乐源泉 你妈 还有妈人在吗？关注一下这个话题#重庆涪陵江北街道山火复燃#看起来很严重！ ?,yellow,0,4,2
每天都想发财睡觉,08月19日 01:57,//weibo.com/7617073952/M1FXJaxIO?refer_flag=1001030103_,#重庆涪陵江北街道山火复燃#天啊 ?,yellow,0,1,1
叮咚汪_,08月19日 01:57,//weibo.com/6504342976/M1FXI5cMn?refer_flag=1001030103_,#重庆涪陵山火仍在扑救中#天哪，希望平安无事 ?,yellow,0,0,0
晚笙出发不晚,08月19日 01:57,//weibo.com/1781530260/M1FXH9LGx?refer_flag=1001030103_,#女孩收录取通知书时正在割猪草#不好意思，占用资源，能关注一下涪陵吗现在火烧的很严重了，还在压热搜#重庆涪陵江北街道山火复燃# 正片山都燃起来了 ?,yellow,0,1,27
