,微博用户名,发布时间,微博链接,微博内容,认证标志,转发数,评论数,点赞数
0,bb花开富贵,2022年08月22日 01:59,//weibo.com/5711298195/M28gfkN0W?refer_flag=1001030103_,#重庆山火# 渝北空气中都是好大的烟味！ ​,None,0,7,3
1,太宰居居,2022年08月22日 01:59,//weibo.com/6608490840/M28geEKSy?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#上去上去！！ ​,None,0,0,0
2,串店太子妃-DiDi,2022年08月22日 01:59,//weibo.com/2795795341/M28gckaF6?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#一定要平安 ​,None,0,0,0
3,棣秭归,2022年08月22日 01:59,//weibo.com/7278701920/M28gbt8sj?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#保佑平安！！！ ​,None,0,0,0
4,侠侠猫,2022年08月22日 01:59,//weibo.com/5166830168/M28gawAS3?refer_flag=1001030103_,#重庆山火#刷微博到这会儿，起来上个厕所，厕所窗子没关，就是一股烧焦的味道 ​,yellow,0,0,0
5,im_xxz,2022年08月22日 01:59,//weibo.com/2716463381/M28gaiiuP?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#新牌坊已闻到空气中浓烈的燃烧味 ​,None,0,0,0
6,苏州小伊,2022年08月22日 01:59,//weibo.com/1996549777/M28g9EshE?refer_flag=1001030103_,#重庆山火#论一个宝妈的警惕性！！我起来好几次了，全封闭的空调环境下，还是闻到了烧糊了的味道。​我困的不行还是去了两遍厨房，直到发现窗户外面更大的味道，于是就开始四处找是不是小区有火灾。。。。​然后都没有，也醒了，看了一眼新闻。距离我们30公里。​希望尽快扑灭，人员安全。重庆最近真的是太热了 收起d,None,0,0,1
7,李飞爱麦麸,2022年08月22日 01:59,//weibo.com/7406623374/M28g9Esva?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#最近好多起火的，消防员和志愿者一定要平安 ​,ip,0,0,0
8,春天的熊和冬天的叉烧,2022年08月22日 01:59,//weibo.com/3436069700/M28g9CfR4?refer_flag=1001030103_,#重庆山火#关了窗户房间里还是好浓的烟味，晚上还有五六级大风，希望大家都能平平安安 ​,ip,0,0,0
9,浅忆的思绪,2022年08月22日 01:59,//weibo.com/7407806264/M28g7hGSE?refer_flag=1001030103_,#重庆山火#愿平安！求雨🌧️ ​,None,0,0,0
10,伤心炖排骨_,2022年08月22日 01:59,//weibo.com/7783792891/M28g71bab?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#注意安全 ​,None,0,0,0
11,期待小沛的大时代,2022年08月22日 01:59,//weibo.com/2101047803/M28g6sQHe?refer_flag=1001030103_,在家都能看到山火希望大家都能平平安安的！#重庆山火# ​,None,0,4,2
12,肉桂臭鼬酱,2022年08月22日 01:59,//weibo.com/5457252835/M28g692UI?refer_flag=1001030103_,离的挺远的，但我觉得味道已经穿透进我房间里了，打开窗户好浓烈啊疫情，山火，高温，干旱，今天风还特别大，重庆挺住祈祷所有人都平安🙏#重庆山火# ​,None,0,0,2
13,甜樱桃酿酒,2022年08月22日 01:59,//weibo.com/6961639956/M28g4kn2M?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#加油 ​,None,0,0,0
14,秦文龙的ting,2022年08月22日 01:59,//weibo.com/7523549554/M28g38qrb?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#平平安安 ​,None,0,0,0
15,桃花三剪笑春风,2022年08月22日 01:59,//weibo.com/5855992267/M28g2A5Bu?refer_flag=1001030103_,#重庆山火#在线求雨，祈祷消防员志愿者们都能平安 ​,None,0,0,0
16,囍嘻嘻嘻嘻嘻嘻嘻囍,2022年08月22日 01:59,//weibo.com/6297458036/M28g2xT7u?refer_flag=1001030103_,#川渝人民要哭了#这个tag很过分！为川渝人民求雨🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧#重庆山火# 🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧🌧#贵州赤水山火# 快快下雨 ​,ip,0,0,0
17,Z你少71点,2022年08月22日 01:59,//weibo.com/5887284755/M28g2iuOl?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#连续几天多地发生山火了求求了来场大雨吧🙏 🙏 🙏 🙏 🙏 🙏 🌧️ 🌧️ 🌧️ 🌧️ 🌧️ 🌧️ 🌧️ 🌧️ ​,None,0,0,0
18,小舟初遇_,2022年08月22日 01:59,//weibo.com/6658683070/M28fZ1nKK?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#加油加油 ​,None,0,0,0
19,承诺730,2022年08月22日 01:59,//weibo.com/5022707369/M28fY88P5?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#注意安全🙏🙏 ​,None,0,0,0
20,宝子快乐宝子,2022年08月22日 01:59,//weibo.com/7586150288/M28fXyHf5?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#？怎么想的？有没有专业设备？有没有专业培训？就算有救火经验的普通人所曾经面对过的火能跟山火比？ ​,None,0,0,0
21,糊你一脸坨坨,2022年08月22日 01:59,//weibo.com/6418798298/M28fXjiP3?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#去当志愿者的朋友在帮助他人的同时一定也要注意自己的安全！ ​,ip,0,0,0
22,小舟初遇_,2022年08月22日 01:59,//weibo.com/6658683070/M28fWDfZd?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#愿平安 ​,None,0,0,0
23,bbbbisciut,2022年08月22日 01:59,//weibo.com/6580333648/M28fWEmpq?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#一切平安，一定要安全回来 ​,None,0,0,0
24,Ashley-un,2022年08月22日 01:59,//weibo.com/5732567353/M28fWoXpM?refer_flag=1001030103_,#贵州赤水山火##重庆山火# 看了照片，觉得很揪心，希望早日扑灭山火，大家都平安 ​,ip,0,0,0
25,早睡早起呀呀呀y,2022年08月22日 01:59,//weibo.com/7435927061/M28fVwOZH?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#望平安！！！！🙏🙏🙏🙏 ​,None,0,0,3
26,桃桃乌龙茶园,2022年08月22日 01:59,//weibo.com/6761468392/M28fVvIKq?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#顶顶 ​,yellow,0,0,0
27,momoxy,2022年08月22日 01:59,//weibo.com/6023539401/M28fVd1AG?refer_flag=1001030103_,#贵州赤水山火#顶顶顶，还有重庆的，别忘了，啊啊啊啊啊 ​,None,0,0,0
28,小舟初遇_,2022年08月22日 01:59,//weibo.com/6658683070/M28fUDA06?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#平平安安吧 ​,None,0,0,0
29,TetsuFan,2022年08月22日 01:59,//weibo.com/7397581367/M28fUzbsv?refer_flag=1001030103_,#重庆山火#不止重庆。通过日本向日葵8号和热源地图结合，可以发现多处山火而产生的烟雾。 ​,None,0,0,0
30,锺煜霖槡,2022年08月22日 01:59,//weibo.com/6317669258/M28fUiGi5?refer_flag=1001030103_,#重庆山火#新浪微博真有你的 ​,None,0,0,0
31,梦啵一口小赞,2022年08月22日 01:59,//weibo.com/6016364985/M28fT8WY5?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#注意安全！平安回来！ ​,yellow,0,0,3
32,棣家小玲,2022年08月22日 01:59,//weibo.com/7597267602/M28fSdvuq?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#志愿者和消防员 在附近的居民都平平安安 顺顺利利🙏 注意安全 重庆快点下雨吧 ​,None,0,0,0
33,小小日记网,2022年08月22日 01:59,//weibo.com/7567164877/M28fRCXOk?refer_flag=1001030103_,#贵州赤水山火##重庆巴南山火# 一定要平平安安🙏 ​,None,0,0,0
34,琑儿爱情的扭锁,2022年08月22日 01:59,//weibo.com/7769446763/M28fRBRJQ?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#吹起了大风，火势可能会更大，在杨家坪都直接被烟熏醒了。现在还在救火的消防员和志愿者一定要安全！ ​,None,0,0,0
35,伊咪哒哒哒,2022年08月22日 01:59,//weibo.com/5164225772/M28fRjay8?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#可怕🙏🙏🙏🙏🙏 ​,None,0,0,1
36,shesolivia,2022年08月22日 01:59,//weibo.com/3609718262/M28fR3LMr?refer_flag=1001030103_,#重庆山火#巴南的山火 这么远居然江北都能闻到烧焦的味道 空气中还有烧焦的灰 黑得老子以为是屋头失火了啊啊啊快下雨吧！ ​,None,0,3,5
37,棣是心动词,2022年08月22日 01:59,//weibo.com/7773675576/M28fR74tb?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#顶顶顶 ​,None,0,0,0
38,小笨蛋88007,2022年08月22日 01:59,//weibo.com/7783005629/M28fQvqIs?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#上去上去，各位要注意安全！！！ ​,None,0,0,0
39,不用找到wo,2022年08月22日 01:59,//weibo.com/3237456094/M28fQuktO?refer_flag=1001030103_,#重庆山火#在观音桥这边，浓浓的柴火燃烧的气味！太可怕了！重庆上空都是浓烟！被山火笼罩了   好可怕求求雨了求求了🙏🙏🙏🙏🙏 ​,None,0,3,3
40,小王子号小行星,2022年08月22日 01:59,//weibo.com/7009078211/M28fQpVzH?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#大家都平安啊，人工降雨不行吗 ​,None,0,10,1
41,啊棣啊棣,2022年08月22日 01:58,//weibo.com/7504711516/M28fQdPIn?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#顶热搜 ​,None,0,0,0
42,饿不痛快的吧,2022年08月22日 01:58,//weibo.com/6387783640/M28fPwGU2?refer_flag=1001030103_,#重庆巴南区界石发生山火#外面的风都混杂着一股烧焦的味道 ​,None,0,1,3
43,我是宇智波鼬的妹妹,2022年08月22日 01:58,//weibo.com/3341081910/M28fODrYz?refer_flag=1001030103_,#重庆山火#我真的现在都不敢睡觉，刚刚听不到好多飞机的声音，明明离山火的地方那么远，站在晾台上却闻到烟味… 希望雨神快来，重庆需要雨啊！不然山城要🔥完了 ​,None,0,1,5
44,是董子呀,2022年08月22日 01:58,//weibo.com/7511240620/M28fOmWVQ?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#大家一定都要注意，都要平安 ​,None,0,0,0
45,西西可怜兮兮,2022年08月22日 01:58,//weibo.com/5926725526/M28fO5lXI?refer_flag=1001030103_,愿平安！#贵州赤水山火##重庆山火# ​,None,0,0,3
46,生心塌棣,2022年08月22日 01:58,//weibo.com/7743898913/M28fO5lRO?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#祈福平安！！ ​,None,0,0,0
47,你今天消磁了嘛,2022年08月22日 01:58,//weibo.com/7399262774/M28fNy6TD?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#求雨求雨 ​,None,0,0,0
48,就喜欢边伯贤贤,2022年08月22日 01:58,//weibo.com/5151006407/M28fNuOv7?refer_flag=1001030103_,#重庆巴南区界石发生山火# 我靠吹进屋的烟灰真的很恐怖！巴南的家人们注意安全！！ ​,None,0,10,4
49,72622-C,2022年08月22日 01:58,//weibo.com/6446287618/M28fNc7ed?refer_flag=1001030103_,#贵州赤水山火##重庆山火# 要平安啊 ​,None,0,0,0
50,只喜歡笨蛋老婆,2022年08月22日 01:58,//weibo.com/6243420494/M28fMAto0?refer_flag=1001030103_,#重庆山火#人类在天灾面前真的好渺小快点下雨救救重庆吧 ​,ip,0,0,0
51,小啵恋爱日记wy,2022年08月22日 01:58,//weibo.com/7266320816/M28fM2nfk?refer_flag=1001030103_,"#重庆巴南山火当地紧急招募志愿者#祝愿重庆的山火赶快扑灭,望消防员平平安安🙏🙏🙏 ​",None,0,0,0
52,啊棣啊棣,2022年08月22日 01:58,//weibo.com/7504711516/M28fLsW3t?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#平安，平安 ​,None,0,0,0
53,早睡早起呀呀呀y,2022年08月22日 01:58,//weibo.com/7435927061/M28fKxv2v?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#顶热搜！！！ ​,None,0,0,0
54,伤心炖排骨_,2022年08月22日 01:58,//weibo.com/7783792891/M28fG7Kc1?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#一定要平安 ​,None,0,0,0
55,艾露lily,2022年08月22日 01:58,//weibo.com/6125768095/M28fE5S2y?refer_flag=1001030103_,#四川泸州突发山火##贵州赤水山火##四川泸州突发山火##重庆巴南山火# 求雨求雨 ​,None,0,0,0
56,一梦二三年呢,2022年08月22日 01:58,//weibo.com/7627663790/M28fE5RQh?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#上去上去 ​,None,0,0,0
57,水晶里的泡泡涓涓涓,2022年08月22日 01:58,//weibo.com/2936735703/M28fDt88k?refer_flag=1001030103_,#重庆山火#快点来一场雨吧 ​,None,0,0,0
58,正直的小魔仙668,2022年08月22日 01:58,//weibo.com/6432036460/M28fDbwWX?refer_flag=1001030103_,#重庆巴南区界石发生山火#人微言轻，不能帮到重庆的朋友们，希望大家平平安安，消防员平安回家，热度+1+1+1，让更多人看见 ​,None,0,0,2
59,pinnkb,2022年08月22日 01:58,//weibo.com/5404935983/M28fD9kHz?refer_flag=1001030103_,#重庆山火#现在在南坪，对面就是南山，很害怕再出什么幺蛾子，早点降温吧，下一场雨，熄灭山火，冲洗一下人民疲惫的心灵 ​,None,0,0,1
60,ELVA-EE,2022年08月22日 01:58,//weibo.com/3732713322/M28fCiidT?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#消防人员和志愿者都要平平安安，注意安全！！🙏🙏🙏 ​,None,0,0,0
61,77抱小熊,2022年08月22日 01:58,//weibo.com/7301755026/M28fAgpZz?refer_flag=1001030103_,#重庆山火# 望平安 ​,None,0,0,0
62,mary51046,2022年08月22日 01:58,//weibo.com/5091484655/M28fAc1sY?refer_flag=1001030103_,#重庆山火#坐标：江北大石坝。空气中也能闻到很浓的烟味现在还刮大风…希望救火的消防官兵注意安全，平平安安🙏 2重庆·大石坝 ​,None,0,0,0
63,你今天消磁了嘛,2022年08月22日 01:58,//weibo.com/7399262774/M28fzAnBU?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#upupup ​,None,0,0,0
64,星星阿源,2022年08月22日 01:58,//weibo.com/6961636697/M28fz05ls?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#大家要遵守政府的安排，千万不要私自前往 ​,None,0,0,0
65,艾露lily,2022年08月22日 01:58,//weibo.com/6125768095/M28fypxOM?refer_flag=1001030103_,#四川泸州突发山火##贵州赤水山火##四川泸州突发山火##重庆巴南山火# 平平安安平平安安 ​,None,0,0,0
66,是不是就是Lily,2022年08月22日 01:58,//weibo.com/2791901215/M28fxfNMt?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#🙏🙏🙏希望救火的一切平安，早日下雨吧 ​,ip,0,0,5
67,徐uv,2022年08月22日 01:58,//weibo.com/7476702657/M28fwkmLv?refer_flag=1001030103_,#贵州赤水山火#！#重庆巴南山火当地紧急招募志愿者# ！#重庆山火#  愿平安 ​,None,0,0,0
68,凌晨三点的鱼哇,2022年08月22日 01:58,//weibo.com/3592389091/M28fvbJ4F?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#远在天边帮不了什么忙，只能帮你们增加一下热度！！！！你们要注意安全 ​,None,0,5,8
69,我的头发就是这样被吹乱的啊嘻,2022年08月22日 01:58,//weibo.com/7248924727/M28ftn3dU?refer_flag=1001030103_,#重庆山火#消防战士都平安回来🙏🏻 ​,ip,0,0,0
70,糖轩轩爱磕糖,2022年08月22日 01:58,//weibo.com/7708762774/M28fsx6S3?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#祝平安🙏🙏🙏 ​,None,0,0,0
71,染柒七zi,2022年08月22日 01:58,//weibo.com/6460303421/M28fsfvtt?refer_flag=1001030103_,#重庆山火#愿平安🙏🙏下下雨吧 ​,None,0,0,0
72,嘉嘉的鲨鱼,2022年08月22日 01:58,//weibo.com/5927798850/M28frk4MB?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#愿人员平安归来 重庆加油加油！ ​,None,0,0,0
73,柒柒柒柒吃饱饱,2022年08月22日 01:57,//weibo.com/6601831558/M28fo6gmR?refer_flag=1001030103_,#重庆山火#求求了，重庆快点下雨吧 ​,None,0,0,0
74,崽崽爱东方大强版,2022年08月22日 01:57,//weibo.com/7370728193/M28fnvIpJ?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#愿大家都平平安安 ​,None,0,0,0
75,河堤的小西瓜吖,2022年08月22日 01:57,//weibo.com/3791736710/M28fngjK2?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#快点下场雨吧！🙏🙏🙏🙏愿一切平安！ ​,yellow,0,0,0
76,蛙蛙升级打怪中,2022年08月22日 01:57,//weibo.com/5238924026/M28fmkSww?refer_flag=1001030103_,#重庆山火#upupup ​,None,0,0,1
77,Z你少71点,2022年08月22日 01:57,//weibo.com/5887284755/M28fm14WQ?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者# 志愿者需要做些什么我在重庆外面连续几天四十几度了，疫情也反弹了重庆今年怎么了 ​,None,0,0,0
78,wannaFilJcy,2022年08月22日 01:57,//weibo.com/5666237825/M28flrDUQ?refer_flag=1001030103_,#重庆山火#这🔥+风吹得哪哪儿都能闻到，今晚重庆人be like：睡觉的时候有人在你旁边抽🚬 ​,yellow,0,0,0
79,1314zdq,2022年08月22日 01:57,//weibo.com/5856202810/M28flqxJo?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#上去 ​,None,0,0,0
80,棣秭归,2022年08月22日 01:57,//weibo.com/7278701920/M28fk1p79?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#志愿者和消防员平安回来！！！大家平安无事！！！老天爷速速降雨！！！速速降雨！！！ ​,None,0,0,0
81,panpu_,2022年08月22日 01:57,//weibo.com/7017667081/M28fjnyXu?refer_flag=1001030103_,#贵州赤水山火##四川泸州突发山火##重庆山火#所有人都要平平安安🙏🙏🙏 ​,None,0,0,0
82,荒井原,2022年08月22日 01:57,//weibo.com/5830873197/M28fj4RP3?refer_flag=1001030103_,#重庆巴南区界石发生山火#除人类活动、火山爆发、闪电会造成山火以外，还有岩石坠落产生的火星，树枝枯草的发酵等都有可能引起山火。山火将自然隔离的碳释放回大气中，加剧了全球变暖，高温又提高了山火潜在的可能，这形成了一个负反馈循环。坏消息是这一列燃烧带来的空气污染严重影响人的健康，好消息是，有科学研究表明，被山火肆虐过的地方拥有更高的物种丰富度和多样性，且许多植物的繁殖与进化依赖火的影响。总而言之，言而总之，山火附近的朋友们注意安全，远离山火的朋友们乐观一些。 收起d,None,0,1,3
83,唓咩咩,2022年08月22日 01:57,//weibo.com/5638472637/M28fj3LGh?refer_flag=1001030103_,诀子们关注一下山火#重庆山火##贵州赤水山火##重庆巴南山火当地紧急招募志愿者##重庆巴南山火当地紧急招募志愿者##重庆山火##贵州赤水山火# ​,None,0,0,0
84,我的名字叫晗雨,2022年08月22日 01:57,//weibo.com/6375118111/M28fite9A?refer_flag=1001030103_,愿所有人平安无事，祈求前线人员平安归来，致敬所有军人们 L我的名字叫晗雨的微博视频 ​,None,0,0,0
85,重生之我是棣棣迷妹版,2022年08月22日 01:57,//weibo.com/6259127526/M28fir1DB?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#已经不需要志愿者了，请大家不要私自前往！留出一条救援通道！谢谢！！！ ​,None,0,0,0
86,凌晨三点的鱼哇,2022年08月22日 01:57,//weibo.com/3592389091/M28fieVom?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#大家热度顶上去！！ ​,None,0,12,54
87,Clown_corpse,2022年08月22日 01:57,//weibo.com/2537698535/M28fhhhNb?refer_flag=1001030103_,#重庆北碚区发生山火#起来上厕所，很浓烈的一股烟味赶快下雨吧 ​,None,0,4,0
88,正直的小魔仙668,2022年08月22日 01:57,//weibo.com/6432036460/M28fhgbyu?refer_flag=1001030103_,#重庆山火#山火快退退退，希望消防员可以平安归来，大家都可以早点回家吹空调好好睡觉🙏🙏🙏 ​,None,0,1,1
89,Zoey111,2022年08月22日 01:57,//weibo.com/7454948264/M28fh0N5o?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#重庆，加油！虽然没去过这个城市但真的很爱很爱这个城市，本来打算在今年大一开学前去的，但是为了不给社会添乱就把酒店退了。重庆，挺住啊！以后想定居在重庆，加油，重庆！消防员们也要注意安全啊！#重庆山火##重庆# ​,None,0,0,0
90,秦文龙的ting,2022年08月22日 01:57,//weibo.com/7523549554/M28fgp9dN?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#祝所有人平平安安 ​,None,0,0,0
91,望他一路顺遂,2022年08月22日 01:57,//weibo.com/6471306151/M28fg8En9?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#虽然成不了志愿者，但是希望所有人都能平平安安的回来🙏🙏🙏 ​,ip,0,0,1
92,太宰居居,2022年08月22日 01:57,//weibo.com/6608490840/M28feESko?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#上去上去！ ​,None,0,0,0
93,大米里的bug,2022年08月22日 01:57,//weibo.com/6936008955/M28feCFIf?refer_flag=1001030103_,#贵州赤水山火##重庆山火##四川泸州突发山火# 所有人都要平平安安的🙏🙏 ​,None,0,0,0
94,河堤是我的神,2022年08月22日 01:57,//weibo.com/5932577621/M28feon2V?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#请重庆的朋友一定注意安全 ​,None,0,0,0
95,墨梵梵梵,2022年08月22日 01:57,//weibo.com/7386167336/M28fe5FDw?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#平安平安🙏🙏🙏一定要平安 ​,None,0,0,0
96,若灰灰灰今天抢到签了吗,2022年08月22日 01:57,//weibo.com/7182721587/M28fc0uYB?refer_flag=1001030103_,#重庆山火#别撤rs，做个人吧 ​,None,0,0,1
97,玫瑰红不红22,2022年08月22日 01:57,//weibo.com/7099682576/M28f9mYNj?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#感觉全球变暖真的控制不了了吗，那明年会不会更严重，希望不要这样，能人工降雨吗 ​,None,0,0,0
98,暮暮QWQ,2022年08月22日 01:57,//weibo.com/5844522486/M28f9hu9p?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#平安🙏🏻🙏🏻🙏🏻 ​,None,0,0,0
99,東条希子,2022年08月22日 01:57,//weibo.com/7268054293/M28f7Av6n?refer_flag=1001030103_,#贵州赤水山火##贵州赤水山火##贵州赤水山火##重庆巴南山火当地紧急招募志愿者##四川泸州突发山火#  ​,None,0,0,0
100,扶缘_,2022年08月22日 01:57,//weibo.com/7279934756/M28f6BLFj?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#希望大家一定都要平平安安的🙏灾情早日结束🙏平安平安 ​,None,0,0,1
101,你今天消磁了嘛,2022年08月22日 01:57,//weibo.com/7399262774/M28f6kacP?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#注意安全加油 ​,None,0,0,0
102,X桀骜女孩,2022年08月22日 01:57,//weibo.com/6122943767/M28f4C5Mk?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#🙏🙏 ​,None,0,0,0
103,墨梵梵梵,2022年08月22日 01:57,//weibo.com/7386167336/M28f4iilc?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#为什么偏偏今天有大风啊啊啊啊！改下雨不行吗啊啊啊啊啊 ​,None,0,0,0
104,嘉嘉的鲨鱼,2022年08月22日 01:57,//weibo.com/5927798850/M28f4g5Oa?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者# 重庆加油 ​,None,0,0,0
105,一路生_花,2022年08月22日 01:57,//weibo.com/7779720510/M28f41MTO?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#一定要保护好自己 ​,None,0,2,2
106,糖菓菓兒00,2022年08月22日 01:57,//weibo.com/5053750467/M28f3aL2P?refer_flag=1001030103_,#重庆山火#重庆山火##重庆山火# 下了热搜，还能上去 ​,None,0,0,1
107,小凡好摄,2022年08月22日 01:57,//weibo.com/1659893422/M28f36lH8?refer_flag=1001030103_,#重庆巴南区界石发生山火#🙏🙏🙏8月21日，重庆巴南区界石镇发生山火。截止晚上十时左右，大火仍在继续燃烧，火势已经冲到山顶，整个山头火光冲天。森林消防、应急救援等多部门已到场处置。 离得这么远，家里都能闻到烧焦的味道………#黄媒不会说的真相# ​,gold,20,21,57
108,是小薛yaa,2022年08月22日 01:57,//weibo.com/6476986303/M28f35g5T?refer_flag=1001030103_,王鹤棣 #重庆山火# 姐妹们快关注现在🔥节约社会资源！！！降棣棣相关rs 千万不要带rs相关此条发帖！！！！不要点rs棣棣相关！！！首选关注社会！！！ ​,ip,0,0,1
109,一个酷酷的仔仔,2022年08月22日 01:56,//weibo.com/2863091794/M28f1iM9n?refer_flag=1001030103_,#重庆山火#睡意朦胧中被一股燃烧的气味惊醒，起来检查家中安全后才发现外面弥漫着烟灰。一场疫情一场高温，重庆太难了 ​,None,0,0,1
110,野风侵过,2022年08月22日 01:56,//weibo.com/7508597297/M28f0v2jO?refer_flag=1001030103_,#重庆山火#阳台上都能闻到好大的焦味！！别刮风了！ ​,None,0,0,0
111,1314zdq,2022年08月22日 01:56,//weibo.com/5856202810/M28f07WCo?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#愿平安 ​,None,0,0,0
112,生心塌棣,2022年08月22日 01:56,//weibo.com/7743898913/M28eYmz3B?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#希望大家可以平安无事 ​,None,0,0,0
113,圈圈源源yuan,2022年08月22日 01:56,//weibo.com/7423294503/M28eXf1cE?refer_flag=1001030103_,#重庆山火#睡不着了 ​,None,0,0,2
114,X桀骜女孩,2022年08月22日 01:56,//weibo.com/6122943767/M28eXaCCj?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#各位都要注意安全🙏 ​,None,0,0,0
115,望他一路顺遂,2022年08月22日 01:56,//weibo.com/6471306151/M28eVpf1N?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#志愿者和消防员加油！都平平安安回来！🙏🙏🙏 ​,ip,0,0,0
116,罗小黑是小黑猫,2022年08月22日 01:56,//weibo.com/5751023671/M28eV7E5k?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#注意安全 ​,None,0,0,0
117,張得酷,2022年08月22日 01:56,//weibo.com/2824342552/M28eUdjgZ?refer_flag=1001030103_,重庆的山火太夸张了，空气中弥漫着烧柴的气味 ​,None,0,0,0
118,徐uv,2022年08月22日 01:56,//weibo.com/7476702657/M28eTpzMF?refer_flag=1001030103_,#贵州赤水山火#！#重庆山火# ！#重庆巴南山火当地紧急招募志愿者#  注意安全注意安全 ​,None,0,0,0
119,琼子Loewe,2022年08月22日 01:56,//weibo.com/1943654481/M28eTosWL?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者##今晚重庆的风好大# 风在吼，半夜起来收衣服，渝北已经能闻到烧焦的味道了 越刷微博越心纠，希望各处山火快点熄灭平安🙏 ​,ip,0,0,5
120,罗小黑是小黑猫,2022年08月22日 01:56,//weibo.com/5751023671/M28eSqPBB?refer_flag=1001030103_,#重庆巴南山火当地紧急招募志愿者#平安啊 ​,None,0,0,0
