,微博用户名,发布时间,微博链接,微博内容,认证标志,转发数,评论数,点赞数,
10,宣普联队工作室,08月23日 01:41,//weibo.com/6163836660/M2hzggrRX?refer_flag=1001030103_,希望重庆一切都好??#重庆山火# ?,None,0,2,0,18
11,浪费蝴蝶,08月23日 01:37,//weibo.com/5686817241/M2hxCjJIA?refer_flag=1001030103_,从前看晚霞的时候总会很平静今天却很难过浓烈的红色烧像熊熊的烟火云层从岩绿的山后面一直烧透了过来漫天的红光盛大中透着悲壮城市都黯淡了许多在这赤烟霞的脸色之下#重庆山火# ?,ip,0,1,22,85
12,汪汪小玩儿,08月23日 01:36,//weibo.com/5155654318/M2hxcjxnC?refer_flag=1001030103_,坐标，重庆沙坪坝，空气中一股燃烧的烟熏气，担心是附近邻居家着火了，起床走到阳台望了望，才想起山火还在不停的烧。希望快点下一场雨吧，山火气息都飘到沙坪坝来了，不知道多严重了…希望都平安? ?,None,0,6,3,94
13,绛沫飞,08月23日 01:35,//weibo.com/1626121693/M2hwSrbp7?refer_flag=1001030103_,#重庆山火##奉节##奉节山火# 奉节当地8月22晚 23点51分发布的新闻，已组织1000余人进行山火扑救???。 ?,None,1,4,6,60
14,林的小乐园,08月23日 01:34,//weibo.com/5645308723/M2hwutXe5?refer_flag=1001030103_,#奉节山火# 我的天，重庆巴南山火还没有灭，重庆奉节山火又发生了。高温，山火，疫情，限电，干旱交织在一起，重庆太难了！ ?,None,0,0,8,61
15,青萍世界wny,08月23日 01:34,//weibo.com/5266120099/M2hwmj90X?refer_flag=1001030103_,重庆今年遭受高温，干旱，山火，疫情，停电，停水的多重打击，太难了，希望接下来不要发生山体滑坡，塌方，泥石流！天干物燥请大家谨慎用火！山火所过之处一派惨状，动物都难逃厄运！ 2重庆·鱼洞 L青萍世界wny的微博视频 ?,ip,0,2,4,108
16,就是喜欢哇,08月23日 01:33,//weibo.com/5894572749/M2hvX7Nhx?refer_flag=1001030103_,#重庆欢乐谷临时管控#南岸长生桥今天也遭了，连夜做核酸。真的是太难了，又是山火又是疫情。哭死 ?,None,0,13,3,48
17,好青年努力向上,08月23日 01:31,//weibo.com/7535635403/M2huZtAxr?refer_flag=1001030103_,分享网易视频《重庆山火有多夸张？ 两米长大蛇都被烤熟 网友：可以直接吃了》 O重庆山火有多夸张？ 两米长大蛇都被烤熟 网友：可以直接吃了 来自@网易新闻客户端 #网易新闻# ?,None,0,0,0,88
18,呼吸冷空气-,08月23日 01:30,//weibo.com/7753840113/M2huY03ol?refer_flag=1001030103_,今天晚上回家发现整个城市都暗了 因为缺电所以连路灯都没有亮 到处都是漆黑的 甚至连红绿灯都停了 上抖音有看到老人被热死 重庆山火消防员牺牲 粮食因为干旱烂在地里 真的有种世界末日要来了的感觉 城市在停摆 政府在停摆 红绿灯也在停摆 只有我们还在忙忙碌碌工作 只是为了活着 这个世界真的有太多苦难 上天赋予我感知众生疾苦的能力 却没有给我帮助众生脱离疾苦的能力 令人悲伤的痛苦 什么时候可以停止 收起d,None,0,0,1,200
19,Dear大勇,08月23日 01:29,//weibo.com/5213250971/M2hubxgK0?refer_flag=1001030103_,昨天凌晨喝酒，今天凌晨灭火。#重庆已组织1500余人扑救巴南山火# 2重庆 ?,None,0,4,5,39
20,xxwang119,08月23日 01:27,//weibo.com/2335122603/M2htC3JFu?refer_flag=1001030103_,#重庆奉节突发山火蔓延至多个山头#害怕…… ?,None,0,0,0,23
21,感觉好久zx,08月23日 01:26,//weibo.com/7466170837/M2hsXzEHD?refer_flag=1001030103_,分享网易视频《重庆山火有多夸张？ 两米长大蛇都被烤熟 网友：可以直接吃了》 O重庆山火有多夸张？ 两米长大蛇都被烤熟 网友：可以直接吃了 来自@网易新闻客户端 #网易新闻# ?,None,0,0,0,88
22,不穿裤茶·,08月23日 01:22,//weibo.com/5782206198/M2hrCcMrz?refer_flag=1001030103_,本来在担心重庆山火 结果、、、我们家这边也着火了！！！我会谢现在还没灭没惹任何人 ?,yellow,0,0,0,42
23,蜀國小帥,08月23日 01:21,//weibo.com/3557541162/M2hriujzd?refer_flag=1001030103_,#奉节山火#继重庆巴南，重庆大足。重庆涪陵，重庆北碚，重庆南川相继发生火灾后，现在奉节也发生火灾，大家一定要有安全意识跟安全隐患，愿平安 ?,yellow,1,0,2,70
24,今天也想想烊烊,08月23日 01:20,//weibo.com/5224033972/M2hqUgALS?refer_flag=1001030103_,重庆快下雨吧 #重庆山火# 还有疫情退！退！退！ 2重庆 ?,None,0,1,0,30
25,大燕子-Fairy,08月23日 01:20,//weibo.com/6105599150/M2hqJB4jx?refer_flag=1001030103_,一边担心海南的疫情一边担心重庆山火一个是我的家一个是我最爱的城市好在的是海南疫情已经出现拐点了重庆的疫情却形势严峻，我一直都很相信重庆的疫情防控，不然怎么可能一直保护得那么好山火也令人揪心，山上还有人住着哩希望一切平安啊！！ ?,None,0,2,4,114
26,佛系忧国忧民,08月23日 01:19,//weibo.com/6568728914/M2hqjxAgY?refer_flag=1001030103_,#重庆山火##贵州赤水山火##奉节山火# 别降rs涪陵、南山、江津、大足、铜梁、巴南、开州、北碚山火…真的一波未平一波又起！连续高温加大风增加了救援难度，希望救援人员都可以平安归来！ ???,ip,0,0,0,95
27,VVVermi,08月23日 01:19,//weibo.com/6230974248/M2hqeeAxt?refer_flag=1001030103_,#重庆山火# 近况如何啊…看着太糟心了…… ?,ip,0,0,0,23
28,薄荷酷,08月23日 01:18,//weibo.com/1514088363/M2hq3mXFl?refer_flag=1001030103_,今年重庆真的太难了 高温持续不下 山火不断 很多单位为了保障民生 限电办公 希望赶快下雨降温吧 真的太难了 ?,None,0,0,0,55
29,林雨歇,08月23日 01:17,//weibo.com/6596270116/M2hpFCX7P?refer_flag=1001030103_,#贵州赤水山火#天哪，前几天是重庆每年都这样吗还是我今年听说的多 ?,ip,0,0,0,34
30,重庆黄飞,08月23日 01:13,//weibo.com/1280472933/M2hnTtdS3?refer_flag=1001030103_,当下重庆可用一幅对联来表达。?上联：疫情、旱情、山火情，每种情让人提心吊胆。?下联：水事、电事、生活事，所有事使民抓耳挠腮。?横批：渝情正事 ?,yellow,1,0,1,72
31,麻椒爱吃鱼,08月23日 01:12,//weibo.com/7430218142/M2hnzkmoQ?refer_flag=1001030103_,#重庆山火#我们说好 我们挺过去！！！ ?,None,0,0,1,21
32,耳东陳阿沛,08月23日 01:11,//weibo.com/5969615718/M2hn2BNgt?refer_flag=1001030103_,#奉节山火#重庆今年真的热的遭不住，快点下雨吧。 ?,None,0,0,2,26
33,L-Venin,08月23日 01:11,//weibo.com/2727719864/M2hmRDzJK?refer_flag=1001030103_,白天送山火物资，晚上抢隔离物资。跟着公司做有意义的事情2重庆·张涛乒乓球俱乐部#重庆山火##重庆巴南山火# 2重庆·界石镇 ?,None,0,1,11,63
34,鲤鱼武士,08月23日 01:10,//weibo.com/6621633333/M2hmQa2l1?refer_flag=1001030103_,人的悲欢各不相同 重庆热到河干山火 我在黑龙江晚上开着窗户睡觉冷的想盖上厚被子 ?,None,0,0,2,41
35,过去LEFT,08月23日 01:10,//weibo.com/3876184152/M2hmu3H1V?refer_flag=1001030103_,#奉节山火#我真的求求了，下点雨吧！！！重庆真的遭不住了，奉节真的耐不活了！！商业限电营业时间直接16点到21点，供水区域分单双日，然而实际上就是乱来，根本不晓得这个水好久来好久停，来了还是浑水。又来了山火！真的遭不住了！！！下雨吧！！！ ?,None,0,2,2,121
36,奔赴一场风雪,08月23日 01:08,//weibo.com/5963717076/M2hlMhpMC?refer_flag=1001030103_,#川渝人民要哭了#重庆最近太难了，毕业了因为在云南工作，这两年云南带着感受不到夏天。但是最近和父母朋友打电话都是说重庆太热了，太热了，还有哪扑不灭的山火都好多起。停限电在加上重庆疫情的爆发，真的水深火热了。一张深夜都被山火点亮的重庆天空图。 ?,None,0,1,0,122
37,看贵州,08月23日 01:08,//weibo.com/3909383956/M2hlHujsZ?refer_flag=1001030103_,【#重庆已组织1500余人扑救巴南山火#】8月21日下午17:00时左右，重庆巴南区界石镇新玉村所辖山林发生火灾。市区两级迅速启动应急预案，现已组织应急力量1500余人紧急扑救。目前，无人员伤亡，周边群众已转移安置。过火面积和起火原因正在调查中。（人民日报记者刘新吾）L人民日报的微博视频 ?,yellow,0,0,0,146
38,慕筱彤,08月23日 01:08,//weibo.com/2887343450/M2hlFvJSF?refer_flag=1001030103_,#重庆巴南区界石发生山火# 一天两夜了，快点下雨吧，看着都心疼 2重庆·巴南区 ?,None,0,3,1,41
39,_Forever-Li,08月23日 01:06,//weibo.com/1729886455/M2hl845xQ?refer_flag=1001030103_,重庆人民这个夏天受得苦难以言喻的多高温 干旱 疫情 山火 封控哦对了 还有外面抱着键盘乱喷的那群人 ?,ip,0,0,0,51
40,·这个号可以随便舞·,08月23日 01:06,//weibo.com/7569457340/M2hl5psoz?refer_flag=1001030103_,#奉节山火# 求下雨，重庆最近太多山火了 ?,yellow,0,0,1,22
41,瑶池里的修仙小鹿,08月23日 01:05,//weibo.com/3188047643/M2hkFo9CN?refer_flag=1001030103_,#重庆的火烧云有多美#正在说这云红彤彤的 结果是山火 快给重庆下雨吧 一个星期有好多处山火了 愿为我们负重前行的消防员平安 ?,None,0,0,0,63
42,我就想当个人间清醒,08月23日 01:05,//weibo.com/2090698925/M2hkvln4d?refer_flag=1001030103_,#重庆山火#传说中的《真·火焰山》西游记诚不欺我呀！ 图为高空下的（重庆山火） ?,ip,0,1,6,41
43,nine昔,08月23日 01:04,//weibo.com/6285007741/M2hka4YZr?refer_flag=1001030103_,#奉节山火#求求给重庆来场雨吧！从来没有这么渴望过雨 ?,None,0,0,0,28
44,小小怪的废话厅,08月23日 01:02,//weibo.com/5566685861/M2hjmpa7S?refer_flag=1001030103_,#重庆# 山火 疫情 高温 限电 快点好起来吧重庆 ?,None,0,1,3,27
45,难忘炸鸡一夜,08月23日 01:01,//weibo.com/5532576294/M2hjbueSV?refer_flag=1001030103_,重庆山火，各处限电，高温热射病……总觉得世界没希望了，我也不是很想活了，大不了大家一起去世吧虽然每天都很开心，但是从很早就不懂生命的意思，人到底为什么活着，我到底有什么用，无关emo只是单纯的迷惑 ?,None,0,0,2,100
46,青兰游戏,08月23日 01:01,//weibo.com/6492767630/M2hja1NzA?refer_flag=1001030103_,#重庆疫情#疫情来了居家很正常，天气热了流点汗很正常！但是，居家的情况下，四周围都搞山火，你是要把我们当豆干苕皮考起吃么。 ?,None,0,0,1,63
47,暴躁且能吃,08月23日 02:59,//weibo.com/3204908091/M2i54iPL4?refer_flag=1001030103_,睡前刷到重庆山火和出租司机这两条微博 失眠了 开始焦虑 未来会不会更差 人类真的渺小 小时候总觉得自己未来是超级英雄 可以保护世界 长大了才知道天灾人祸有多么可怕 可能以我自己目前的能力连家人都保护不了 大多数时候再讨厌自己是个普通人 又很明白做好普通人很不容易  但真的很讨厌自己大多数时候无能为力 疫情 洪水 旱情 持续高温限电 打仗 这几年这些新闻都让我很崩溃 讨厌自己这共情能力 我自私在想在我有生之年 世界和平 天灾能更少一些 我能安稳到老最近的心愿：早日下雨 疫情滚出地球 世界和平 收起d,None,0,0,0,251
48,用户7459213632,08月23日 02:54,//weibo.com/7459213632/M2i2G0XJh?refer_flag=1001030103_,#重庆山火#四川加油！！开通捐赠渠道，全国人民陪着你们一起度过难关！！ ?,None,0,0,0,37
49,shanyia_031,08月23日 02:53,//weibo.com/2593516203/M2i2hpTXo?refer_flag=1001030103_,#奉节山火#  救救重庆。。我超了 ?,None,0,0,1,19
50,暖人心乄,08月23日 02:45,//weibo.com/5849689703/M2hZ4kFO5?refer_flag=1001030103_,#重庆山火# 高温 干旱 多处山火 热射病 老年人 疫情 好好活着也不易 ?,None,0,1,0,38
51,创了个鬼,08月23日 02:41,//weibo.com/7721387575/M2hXI3s7F?refer_flag=1001030103_,救命 重庆15个区县都发山火了 还要热多久 好久没下雨了天天40多度 ?,None,0,0,0,36
52,海拉鲁第一炸鱼勇士,08月23日 02:41,//weibo.com/1822496095/M2hXGkhkw?refer_flag=1001030103_,#重庆山火#希望至少不要有人员伤亡 ?,None,0,0,0,19
53,关于狼鱼的4399个故事,08月23日 02:41,//weibo.com/7438488925/M2hXusOB4?refer_flag=1001030103_,#川渝人民要哭了#  这么严肃的事情就别弄这种这么带有娱乐性质的词条了吧现在重庆温度真的超高，好多学校延迟开学，嘉陵江被晒成嘉陵“工”，而且天天都有山火，消防员特不容易。现在很多区疫情又起来了，真的这种局势不能拿来开玩笑，要哭了是真的要哭了 ?,None,0,0,10,122
54,灵敲的宝贝,08月23日 02:38,//weibo.com/5661453938/M2hWcn3eA?refer_flag=1001030103_,#奉节山火#希望消防员们都平平安安的???重庆也该降点温了吧一个暑假门都没出几次 ?,yellow,0,0,1,42
55,邵阳市洞口县法院,08月23日 02:32,//weibo.com/3906564923/M2hTUA6Rh?refer_flag=1001030103_,【#重庆火灾一线消防员睡姿让人心疼#】8月18日以来，重庆多地发生山林火灾，经全力扑救，目前#重庆多处山火被有力压制#，无人员伤亡。在重庆大足森林火灾一线，42度高温天气下，森林消防员与火魔从深夜奋战到天亮，累得躺在滚烫的地上和衣而卧。L应急管理部的微博视频 ? ???,blue,0,2,1,135
56,CPA在线营业,08月23日 02:29,//weibo.com/6513741048/M2hSV5gMM?refer_flag=1001030103_,#重庆人的心到底有多齐#高温，疫情，山火，限电，打不倒不屈不挠的重庆人。我始终记得《苦干》里说，这里的地理环境不适合人类居住，所以这是一座奇迹之城。 ???,None,0,0,17,78
57,一心只为我女神,08月23日 02:29,//weibo.com/2177818452/M2hSHhqUD?refer_flag=1001030103_,#重庆山火# 歇马那又烧起来了?? 2重庆·北碚区 L一心只为我女神的微博视频 ?,None,0,1,9,41
58,花sky_晶,08月23日 02:28,//weibo.com/2028262593/M2hSnbRGX?refer_flag=1001030103_,@X玖少年团肖战DAYTOY 你到虾爬子都是好孩子#重庆山火# 重庆望平安? L花sky_晶的微博视频 ?,ip,0,0,8,53
59,诗艺Maggie,08月23日 02:25,//weibo.com/1789471325/M2hQXlHiX?refer_flag=1001030103_,去支援灭山火的二狗子还没回家希望重庆赶紧好起来 疫情 山火 真的太辛苦了#重庆山火# ?,None,0,0,0,44
60,小程序酱,08月23日 02:20,//weibo.com/1177965394/M2hP9niDW?refer_flag=1001030103_,2022/08/22 周一，第九百三十四天，重庆这个夏天太难了，疫情，高温，干旱，山火全都来了。 ?,ip,0,1,0,50
61,小刘日记话多版,08月23日 02:19,//weibo.com/7402582546/M2hOR7vRB?refer_flag=1001030103_,最近重庆太恼火了 疫情 高温 限电 山火…看到这篇还蛮感动 ?,None,0,0,0,31
62,梦然kira,08月23日 02:19,//weibo.com/1734871315/M2hOQqntR?refer_flag=1001030103_,#重庆已组织1500余人扑救巴南山火#8月21日下午17:00时左右，重庆巴南区界石镇新玉村所辖山林发生火灾。市区两级迅速启动应急预案，现已组织应急力量1500余人紧急扑救。目前，无人员伤亡，周边群众已转移安置。过火面积和起火原因正在调查中。 ?,gold,0,0,0,123
63,纸月和风,08月23日 02:18,//weibo.com/6670637479/M2hOitFZ4?refer_flag=1001030103_,#重庆山火# 看一天了，焦人 ?,None,0,0,0,16
64,夏夜躲雨人,08月23日 02:15,//weibo.com/7416741846/M2hMV4UOT?refer_flag=1001030103_,重庆山火还没灭玩，8月22晚上22：00 L夏夜躲雨人的微博视频 ?,None,0,0,0,34
65,LaingYi-,08月23日 02:14,//weibo.com/6619501969/M2hMA674F?refer_flag=1001030103_,#重庆山火# 虎头山昨天烧到现在好不容易要灭了又变得好大#北碚山火# ?,None,1,9,8,36
66,李李李雪妮,08月23日 02:13,//weibo.com/1519033562/M2hMnoHNh?refer_flag=1001030103_,我一天起码至少要看10次天气预报 希望天气发生奇迹出现转变能够下雨1是因为最近真的太热了 重庆到处发生山火 这么热的天那些消防员和志愿者都好辛苦 而且一直灭不了  2是因为杜哥上班真的好辛苦 真难！ ?,None,0,0,0,101
67,知名记者何红,08月23日 02:13,//weibo.com/1286211941/M2hM33K0S?refer_flag=1001030103_,烈火金刚造就真正的英雄。#奉节山火##重庆奉节突发山火蔓延至多个山头# 烈火英雄重庆近日都是40度+，这么热的天气再加上大火，真的是烈火金刚！！！ ???,yellow,0,0,4,77
68,西米为粟_,08月23日 02:12,//weibo.com/7499133316/M2hLRsMY9?refer_flag=1001030103_,#奉节山火#重庆温度真的太高了，快下雨吧 ?,ip,0,0,0,22
69,一百二十一个喜欢爬墙的梦想,08月23日 02:11,//weibo.com/7776837806/M2hLByFiI?refer_flag=1001030103_,山火。四十加摄氏度。全市限电。学校能看见山火的烟。今天又新增了。车票买不到了。全重庆都延迟了。西南头铁大学能不能延迟啊 ?,None,0,0,0,61
70,double_frosts,08月23日 02:10,//weibo.com/5496721347/M2hL3fXVV?refer_flag=1001030103_,从今年夏天才知道什么是热射病 原来真的是有很多人会热死的重庆的山火连绵不断 好多人说城区里都能闻到山火灰的味道 雾蒙蒙的 快来场大雨吧 希望这个夏天快点过去 大家都能平平安安的 ?,None,0,0,2,90
71,邻居王老汉,08月23日 02:05,//weibo.com/5265178145/M2hJ1kW8J?refer_flag=1001030103_,休息休息，天亮继续#重庆山火# 2重庆·土中坝 ?,None,1,17,73,25
72,Juliny笨笨,08月23日 02:04,//weibo.com/3906075716/M2hIM2sCi?refer_flag=1001030103_,#重庆山火#为什么重庆这么严重的山火却没有官方发布 ?,None,0,0,0,27
73,章鱼壶里梦黄粱uu,08月23日 02:03,//weibo.com/6380243625/M2hIj79hN?refer_flag=1001030103_,疫情以来 好像几乎每个城市都有特别艰难的一段时间 重庆还是没能躲过去虽然目前我自己所感受和体验到的只是今年尤其热的天气 商场公司开始限电 山火断断续续 以及空气中弥漫的燃烧的味道 但各种悲伤的新闻看多了之后 真的会觉得有些恍惚 原来有些人的日子会那么难过 又开始有19年疫情刚爆发时那种看到有关消息都会觉得难受的感觉了 哎 快点好起来吧 太难了 收起d,None,0,0,0,176
74,塞列欧斯的权杖,08月23日 02:02,//weibo.com/3845588586/M2hHOAmlO?refer_flag=1001030103_,#重庆的火烧云有多美#山火烧出来的烟子你问美不美，是哈卵迈 ?,None,0,1,15,31
75,swallows1003,08月23日 02:02,//weibo.com/6051064734/M2hHG4EES?refer_flag=1001030103_,#重庆山火#重庆好多区都有山火啊，之前在家也能见过家邻近的山发生火灾，快些下雨吧。 ?,None,0,0,4,43
76,羊皮子_,08月23日 02:00,//weibo.com/1986980987/M2hGLmFs9?refer_flag=1001030103_,重庆半夜都接近40度，真的没开玩笑！我们的晚风叫做暖风，出门在外就像背了一个空调外机行走一样。持续高温造成山火频发，全市一心共抗山火，向一线工作者致敬！印象中重庆好久没这么连续上了热搜了，希望下周准时降温，降个十度吧，也就三十多度而已啦… #重庆山火# #重庆高温# ?,yellow,1,35,172,135
77,理智and情感,08月23日 03:58,//weibo.com/1688367480/M2isKhZZv?refer_flag=1001030103_,#重庆山火#江北，空气中弥漫着燃烧的烟味儿。 ?,ip,0,1,3,24
78,酥肉小面包,08月23日 03:51,//weibo.com/1677385014/M2iq09bvN?refer_flag=1001030103_,重庆是八月的疼痛文学城市 高温 疫情 山火 限电 干旱 样样都有 但是重庆的夕阳真的好美昨晚 他们说是山火还在燃烧换来的 突然心里就很咯噔 很想这个世界了 但是山火换来的夕阳真的好美啊 我觉得比一般的夕阳都要美 为什么呢 但是想起背后是山火在烧 心里有种奇怪的感觉 不想要这样的夕阳走 但是也不想山火在燃烧 想能够开开心心的逛街 但是也想能看见关灯后夕阳下的重庆 想出门去看看现在的重庆 但是真的好热啊 收起d,None,0,0,2,205
79,奶朴鱼,08月23日 03:46,//weibo.com/7215777569/M2inS5e1c?refer_flag=1001030103_,四川贵州重庆的山火还没扑灭……快??吧 ?,None,0,0,0,21
80,草子666,08月23日 03:46,//weibo.com/7562601958/M2inNjete?refer_flag=1001030103_,睡不着，睡不着，因为极端天气引发了焦虑和愤怒。以前我担心老是开空调浪费电，现在我感谢这个世界在43度的高温天气里没有剥夺我开空调的机会。重庆四处都在冒山火，长江水要干了，小区门口的树快枯死了，真是美好的夏天? ?,None,0,0,0,106
81,伴洋则暖0806,08月23日 03:45,//weibo.com/5737270055/M2inLhm9f?refer_flag=1001030103_,又是一个不眠的夜重庆的现状:疫情+高温+山火+限电+干旱+封控=真的好难 ?,yellow,0,2,1,38
82,Mini-teri,08月23日 03:45,//weibo.com/2758181733/M2inr7olU?refer_flag=1001030103_,重庆下下雨吧小王子去现场当志愿者了 到现在也没回来 刚刚和他通上电话  据说火势很大  希望重庆早点度过难过#重庆山火# LMini-teri的微博视频 ?,None,0,1,2,78
83,语文阅刊,08月23日 03:44,//weibo.com/1747766363/M2in25VSs?refer_flag=1001030103_,【#重庆奉节突发山火蔓延至多个山头# 当地正全力扑救】8月22日，重庆奉节县安坪镇附近突发山火，火势蔓延迅速，火光将夜空照亮，多个山头出现火情。目击者王先生称17时许，远远的看到山上起火了，浓烟滚滚，不断有消防车呼啸而过。20时许，记者联系奉节县应急管理局，工作人员确认接到火情报告，多部门已赶到现场处置，截至20时，山火仍未扑灭。  L百姓关注的微博视频 收起d,gold,0,0,0,182
84,V去痛片,08月23日 03:43,//weibo.com/1146272044/M2imVeLjW?refer_flag=1001030103_,8月23日早报1. 气温骤降至零下10℃，新疆独库公路因降雪部分路段交通管制2. 海南2030年全面禁止销售燃油汽车3. 商务部：全面做好加入DEPA的准备，与DEPA成员开展实质性谈判4. 央行：保障房地产合理融资需求，依法合规加大对平台经济重点领域金融支持5. 上海警方通报中考数学疑似泄题：2人被捕，1人取保候审6. 重庆因持续高温干旱多地发生山火，目前正全力扑救暂无伤亡7. 人教社教材插图问题通报：社长等27人被问责，无利益输送；新教材插图示例发布：央美团队绘制，体现中国风精气神8. 美国已有超1.4万例猴痘病例，纽约州报告首例未成年病例9. 俄联邦安全局：杜金娜被害案已侦破，系乌克兰特勤部门实施10. 日本正研制射程上千公里巡航导弹，拟列装1000枚以上11. 美国印第安纳州州长窜台，外交部：已向美方提出严正交涉12. 韩美举行五年来最大规模军演，韩国民间团体集会抗议 收起d,yellow,1,0,2,397
85,酷风,08月23日 03:43,//weibo.com/5888865192/M2imLtA33?refer_flag=1001030103_,【#重庆巴南山火目前火势可控#】#直击重庆巴南山火# 记者22日从重庆市巴南区委宣传部获悉，8月21日，巴南区界石镇新玉村所辖山林发生火灾。巴南区已先后组织应急救援机关分队和森林灭火队、消防救援支队、武警机动支队，以及各镇街民兵和社会救援力量3700余人，投入消防水车、城市消防车、各类抢险车辆等各类专业灭火装备开展科学扑救作业。目前，经全力扑救，各处火势得到有力压制，无人员伤亡。L中新视频的微博视频 收起d,gold,2,2,2,205
86,鞍钢郭明义,08月23日 03:41,//weibo.com/2044679991/M2im6rpf9?refer_flag=1001030103_,重庆山火一线消防员睡姿让人心疼O网页链接 ?,yellow,1,1,4,22
87,扎西德勒·天珠收藏,08月23日 03:35,//weibo.com/1165975013/M2ijssCDi?refer_flag=1001030103_,【#重庆奉节突发山火蔓延至多个山头# 当地正全力扑救】#奉节山火#8月22日，重庆奉节县安坪镇附近突发山火，火势蔓延迅速，火光将夜空照亮，多个山头出现火情。目击者王先生称17时许，远远的看到山上起火了，浓烟滚滚，不断有消防车呼啸而过。20时许，记者联系奉节县应急管理局，工作人员确认接到火情报告，多部门已赶到现场处置，截至20时，山火仍未扑灭。 L扎西德勒·天珠收藏的微博视频 收起d,gold,2,3,6,192
88,启启启麻麻,08月23日 03:34,//weibo.com/2965246723/M2iiUqpTR?refer_flag=1001030103_,#重庆山火# 12:30睡之前靠歇马这面山明明已经只看得到一小片一小片的明火了（山的另一侧虎头山的火势一直比较大），3点起来看又是好几座一片猩红，还时不时的燃明火，风也大。?可以想象山的另一面形势有好严峻，祈求缙云山山火快快扑灭啊 2重庆·歇马 ?,None,0,3,4,124
89,扎西德勒·天珠收藏,08月23日 03:33,//weibo.com/1165975013/M2iiN19xt?refer_flag=1001030103_,#重庆山火#慎点！重庆山火把蛇都烧死了… L扎西德勒·天珠收藏的微博视频 ?,gold,51,19,574,38
90,渣渣个棉签,08月23日 03:33,//weibo.com/2907812473/M2iiA6yjN?refer_flag=1001030103_,#重庆山火# ?,None,0,0,0,8
